@relation 'technicalDebt'

@attribute Text string
@attribute class-att {negative,positive}

@data

'ignored ',negative
'ignored ',negative
'process data twice ',negative
'was the same data produced ',negative
'search string ',negative
'search string ',negative
'index longest matching substring ',negative
'result the lookup ',negative
'method use substring matches ',negative
'object invoke method ',negative
'line ',negative
'test line ',negative
'line ',negative
'hop line ',negative
'setmark line ',negative
'goto line ',negative
'gopast line ',negative
'setmark line ',negative
'try line ',negative
'line ',negative
'line ',negative
'setlimit line ',negative
'tomark line ',negative
'line ',negative
'line ',negative
'substring line ',negative
'line ',negative
'line ',negative
'delete line ',negative
'line ',negative
'delete line ',negative
'line ',negative
'test line ',negative
'line ',negative
'setlimit line ',negative
'tomark line ',negative
'line ',negative
'line ',negative
'substring line ',negative
'line ',negative
'next line ',negative
'line ',negative
'delete line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'literal line ',negative
'line ',negative
'literal line ',negative
'delete line ',negative
'setlimit line ',negative
'tomark line ',negative
'line ',negative
'line ',negative
'substring line ',negative
'line ',negative
'line ',negative
'delete line ',negative
'line ',negative
'call consonantpair line ',negative
'line ',negative
'line ',negative
'line ',negative
'setlimit line ',negative
'tomark line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'name line ',negative
'delete line ',negative
'line ',negative
'line ',negative
'call markregions line ',negative
'backwards line ',negative
'line ',negative
'line ',negative
'call mainsuffix line ',negative
'line ',negative
'call consonantpair line ',negative
'line ',negative
'call othersuffix line ',negative
'line ',negative
'call undouble line ',negative
'line ',negative
'test line ',negative
'repeat line ',negative
'line ',negative
'line ',negative
'substring line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'next line ',negative
'try line ',negative
'line ',negative
'line ',negative
'literal line ',negative
'line ',negative
'line ',negative
'repeat line ',negative
'goto line ',negative
'line ',negative
'line ',negative
'line ',negative
'line ',negative
'literal line ',negative
'line ',negative
'line ',negative
'line ',negative
'literal line ',negative
'line ',negative
'line ',negative
'line ',negative
'gopast line ',negative
'gopast line ',negative
'setmark line ',negative
'try line ',negative
'line ',negative
'gopast line ',negative
